No.,児童館名,所在地,地区,電話番号,緯度,経度,開館時間,休館日,ホームページ,
1,つばき児童館,福井市種池2丁目309,社南,0776-33-0645,36.037563,136.190356,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/01tsubaki.html,
2,ひまわり児童館,福井市文京6丁目20-21,日新,0776-21-9590,36.077151,136.201017,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/02himawari.html,
3,さくらじどうかん,福井市文京3丁目13-1　春山小学校内,春山,0776-25-2356,36.078777,136.213172,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/03sakura.html,
4,あじさいじどうかん,福井市足羽3丁目1-1　足羽小学校内,足羽,0776-33-0643,36.058918,136.206434,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/04ajisai.html,
5,さざんか児童館,福井市春日町221-2,木田,0776-33-2045,36.049897,136.219706,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/05sazannka.html,
6,さつきじどうかん,福井市手寄2丁目2-5　旭小学校内,旭,0776-27-2995,36.059154,136.227499,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/06satuki.html,
7,とちのき児童館,福井市松本1丁目30-24,松本,0776-25-4580,36.074079,136.231048,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/07tochinoki.html,
8,もくせい児童館,福井市太田町14-7,文珠,0776-38-3490,36.011955,136.229937,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/08mokisei.html,
9,とまと児童館,福井市大瀬町24-5-1,東安居,0776-33-2411,36.06805,136.185032,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/09tomato.html,
10,すいせん児童館,福井市灯明寺2丁目2109,明新,0776-29-2050,36.093179,136.213897,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/10suisen.html,
11,すずらん児童館,福井市江端町29-101,清明,0776-38-5513,36.030425,136.210247,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/11suzuran.html,
12,ふじ児童館,福井市高木北2丁目1106,中藤島,0776-53-5240,36.099587,136.233387,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/12fuji.html,
13,もみじ児童館,福井市新保1丁目920,啓蒙,0776-52-3146,36.082254,136.246985,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/13momiji.html,
14,こすもす児童館,福井市日之出5丁目14-1,日之出,0776-52-0619,36.066058,136.234049,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/14kosumosu.html,
15,くすのき児童館,福井市花堂北2丁目5-3,豊,0776-34-8137,36.042946,136.213629,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/15kusunoki.html,
16,たちばな児童館,福井市光陽1丁目25-29,湊,0776-24-2859,36.064059,136.202211,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/16tachibana.html,
17,あさがおじどうかん,福井市浅水二日町28-5　麻生津小学校内,麻生津,0776-39-1607,36.002358,136.198193,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/17asagao.html,
18,たんぽぽ児童館,福井市和田1丁目7-26,和田,0776-30-0335,36.051437,136.241538,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/18tanpopo.html,
19,すみれ児童館,福井市上野本町2丁目1302,森田,0776-56-4460,36.109937,136.237402,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/19sumire.html,
20,どんぐり児童館,福井市北四ツ居2丁目7-14,円山,0776-52-8800,36.066578,136.245121,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/20donguri.html,
21,くるみ児童館,福井市若杉4丁目2102,社北,0776-35-8020,36.05799,136.184629,12:00～18:00　※土曜・長期休暇中　8:30～18:00,日曜、祝日、年末・年始,http://www.fukuic-shakyo.jp/jidokan/shisetsu/21kurumi.html,
