No.,児童クラブ名,所在地,地区,電話番号,緯度,経度,
1,木田児童クラブ,福井市春日町221-1　旧木田公民館内,木田,97-8233,36.049802,136.219568,
2,第２木田児童クラブ,福井市 木田1丁目1406　旧木田保育園内,木田,080-6357-4094,36.048309,136.222231,
3,のびっ子クラブ木田,福井市 木田1丁目1360　木田小学校内,木田,080-8996-2690,36.048171,136.220607,
4,さざんか児童クラブ,福井市春日町221-2　さざんか児童館内,木田,33-2045,36.049897,136.219706,
5,放課後児童クラブわくわく木田ほのか,福井市みのり1丁目5-15　ル☆レーヴほのか敷地内,木田,34-6226,36.04942,136.217182,
6,のびっ子クラブ豊,福井市月見3-9-1　豊小学校内,豊,080-8690-8197,36.045759,136.21137,
7,のびっ子クラブ豊第２,福井市月見3-9-1　豊小学校内,豊,080-8690-8197,36.045759,136.21137,
8,くすのき児童クラブ,福井市花堂北2-5-3　くすのき児童館内,豊,34-8137,36.042946,136.213629,
9,あじさい児童クラブ,福井市足羽3-1-1　足羽小学校内,足羽,33-0643,36.058918,136.206434,
10,ハーツきっず湊児童クラブ,福井市学園1-4-8　湊小学校内,湊,080-8690-9988,36.069802,136.201767,
11,たちばな児童クラブ,福井市光陽1-25-29　たちばな児童館内,湊,24-2859,36.064059,136.202211,
12,さくら児童クラブ,福井市文京3-13-1　春山小学校内,春山,25-2356,36.078777,136.213172,
13,まつのき児童クラブ,福井市 松本4-8-4　まつのき児童館内 ,宝永,26-1021,36.072586,136.220174,
14,順化児童クラブ,福井市大手3-16-1　順化小学校内,順化,090-1310-2817,36.066507,136.220124,
15,まつもと児童クラブ,福井市町屋3-14-20　松本小学校内 ,松本,43-0480,36.078491,136.225961,
16,とちのき児童クラブ,福井市松本1-30-24　とちのき児童館内,松本,25-4580,36.074079,136.231048,
17,ハーツきっず日之出児童クラブ,福井市日之出5-11-1　日之出小学校内,日之出,080-8691-1790,36.065847,136.232806,
18,こすもす児童クラブ,福井市日之出5-14-1　こすもす児童館内,日之出,52-0619,36.066058,136.234049,
19,さつき児童クラブ,福井市手寄2-2-5　旭小学校内,旭,27-2995,36.060106,136.228332,
20,日新児童クラブ,福井市文京5-25-30　日新小学校内 ,日新,090-8264-4152,36.078474,136.203473,
21,ひまわり児童クラブ,福井市文京6-20-21　ひまわり児童館内,日新,21-9590,36.077151,136.201017,
22,のびっ子クラブ清明,福井市江端町37-18-2　旧清明公民館内,清明,090-4329-7003,36.027453,136.210063,
23,のびっ子クラブ清たん,福井市江端町37-18-2　旧清明公民館内,清明,080-8996-2690,36.027453,136.210063,
24,すずらん児童クラブ,福井市江端町29-101　すずらん児童館内,清明,38-5513,36.030425,136.210247,
25,東安居児童クラブ,福井市水越2-503　東安居小学校内,東安居,080-8996-9290,36.066324,136.187734,
26,とまと児童クラブ,福井市大瀬町24-5-1　とまと児童館内,東安居,33-2411,36.06805,136.185032,
27,社南児童クラブ江守の里,福井市江守の里1-1412　ふれあいセンターあさかぜ内,社南,33-2855,36.028853,136.182172,
28,社南児童クラブあさかぜ,福井市渕1-3211　認定こども園あさかぜ内,社南,35-7160,36.037819,136.191525,
29,社南児童クラブみなみっこ,福井市種池2丁目128　社南小学校内,社南,35-7160,36.037344,136.191811,
30,のびっ子クラブ社南,福井市種池2丁目305　旧治水記念館内,社南,090-4328-9600,36.037457,136.190551,
31,つばき児童クラブ,福井市種池2-309　つばき児童館内,社南,33-0645,36.037563,136.190356,
32,社北児童クラブ,福井市若杉4-143　社北小学校内,社北,35-6565,36.059347,136.185348,
