No.,分類,幼稚園名,幼稚園名_かな,所在地,電話番号,年数,緯度,経度
1,市立,大安寺幼稚園,だいあんじ,福井市田ノ谷町14-6,0776-59-1043,3年,36.105376,136.176136
2,市立,岡保幼稚園,おかぼ,福井市河水町18-8,0776-54-5824,1年,36.051864,136.273062
3,市立,殿下幼稚園,でんが,福井市風尾町6-24,0776-97-2511,3年,36.036284,136.04686
4,市立,鶉東部幼稚園,うずらとうぶ,福井市仙町6-4,0776-59-1076,3年,36.12882,136.164431
5,市立,本郷幼稚園,ほんごう,福井市大年町65-32,0776-83-0922,3年,36.115053,136.140542
6,市立,鷹巣幼稚園,たかす,福井市和布町3-6,0776-86-1114,3年,36.130674,136.065939
7,市立,長橋幼稚園,ながはし,福井市長橋町18-48,0776-86-1119,3年,36.110566,136.049231
8,市立,酒生幼稚園,さこう,福井市成願寺町5-1,0776-41-3017,1年,36.032538,136.275114
9,市立,一乗幼稚園,いちじょう,福井市西新町1-4,0776-43-2024,2年,35.995581,136.290378
10,市立,上文殊幼稚園,かみもんじゅ,福井市生部町36-6,0776-41-0514,1年,35.999626,136.25302
11,市立,下宇坂幼稚園,しもうさか,福井市市波町55-5,0776-96-4054,1年,36.015528,136.332851
12,市立,羽生幼稚園,はにゅう,福井市大宮町12-31,0776-90-3024,1年,35.999466,136.416044
13,私立,小鳩幼稚園,こばと,福井市志比口2丁目25-25,0776-54-6144,3年※,36.071484,136.240219
14,私立,聖徳幼稚園,しょうとく,福井市松本3丁目11-19,0776-27-1779,3年※,36.072109,136.224235
15,私立,仁愛女子短期大学附属幼稚園,じんあい,福井市天池町43-1-1,0776-56-3444,3年※,36.103304,136.21667
16,私立,報徳幼稚園,ほうとく,福井市手寄1丁目19-4,0776-22-0853,3年※,36.058729,136.224511
17,国立,福井大学教育学部付属,ふぞく,福井市二の宮4丁目45-1,0776-22-6687,3年※,36.087508,136.213245
