No.,名称,所在地,電話番号,ＦＡＸ番号,併設サービス(重度訪問),併設サービス(行動援護),併設サービス(同行援護),主な対象者(身体),主な対象者(知的),主な対象者(精神),主な対象者(障害児),設置主体(法人)の名称,緯度,経度
18,Ｉｚｕｍｉ訪問介護ステーション,文京１丁目３７－１９,(０７７６)３７－３２５０,(０７７６)３７－３５０５,●,,,●,●,●,●,株式会社　事業支援開発機構,36.080648,136.225434
19,ライフサポートチームこれでいいのだ。,灯明寺３丁目３５１１,(０７７６)２１－３３３９,(０７７６)２１－３３３９,,,,●,●,●,●,一般社団法人　Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,36.097879,136.211752
20,合同会社ゆめいえ,大宮５丁目４－３,(０７７６)４３－９６７２,(０７７６)４３－９６７３,●,,,●,●,●,●,合同会社ゆめいえ,36.080031,136.204424
21,さくら・介護ステーション福井北,経田二丁目１００１　フェルティ経田１０２号室,(０７７６)８９－１９０４,(０７７６)８９－１９０５,●,,,●,●,●,●,株式会社　ｉｆＤ,36.089795,136.220388
22,ココ訪問介護事業所,和布町１４－６４－１,(０７７６)６５－３０３０,(０７７６)６５－０６６３,●,●,●,●,●,●,●,株式会社　秀水福祉会,36.128151,136.06616
23,合同会社あおやま介護企画,西開発１丁目１６０４,(０７７６)９７－５３６６,(０７７６)５２－５３６６,●,●,,●,●,●,●,合同会社あおやま介護企画,36.07464,136.236302
24,ニチイケアセンター堀の宮,大宮６丁目１３－６,(０７７６)３０－２０６７,(０７７６)２８－９７３３,●,,,●,●,●,●,株式会社　ニチイ学館,36.080895,136.197757
25,ニチイケアセンター花堂東,花堂東１丁目２９－１７,(０７７６)３２－４８４１,(０７７６)３４－８２６４,●,,,●,●,●,●,株式会社　ニチイ学館,36.037865,136.222079
26,ＹＯＬＯ・ＦＵＫＵＩ,大宮２丁目３－２５,(０７７６)４３－６７６３,(０７７６)４３－６７６４,●,,,●,●,●,●,一般社団法人　ＹＯＬＯ・ＦＵＫＵＩ,36.081141,136.220567
27,ヘルパーステーション花笑み,舞屋町４－３－１１,(０７７６)５８－７１４０,(０７７６)５８－７１５０,●,,,●,●,●,●,株式会社　ビリーブ,36.088152,136.207468
28,訪問介護まごのて北ノ庄,西木田１丁目１５番１２号,(０７７６)９１－３０３０,(０７７６)９１－３０３１,●,,,●,●,●,●,らいふぴーす株式会社,36.054539,136.215864
29,ひろば訪問介護ステーション,渡町２０８　オルレアン・Ｋ　Ｔ１０１,(０７７６)９７－８０３４,(０７７６)９７－８０６４,,,,●,,,,ケアライン合同会社,36.065213,136.188317
30,合同会社あいの風介護サポート,勝見３丁目１５番１０号,０８０－７７３５－７７１５,,●,,,●,●,●,●,合同会社あいの風介護サポート,36.055114,136.231514
31,こむぎヘルパーステーション,新田塚１丁目７０番３１号　Ｋ１ビル,(０７７６)５０－３９４１,(０７７６)５０－３９４２,●,,,●,●,●,●,合同会社マルイチ,36.090087,136.208994
32,訪問介護ステーション　ひこうきぐも,松城町５－８　ソレイユ松城３０２,(０７７６)６５－３５８３,,●,,,●,●,●,●,合同会社ＣＯＭ企画,36.063741,136.237978
33,ホームケア土屋　福井,二の宮３丁目２４－１６ハイツ二の宮２０１号室,０５０－３１４９－２９９５,０５０－６８７５－６３４２,●,,,●,●,●,●,株式会社土屋,36.0858,136.218325
34,Ｈｅｌｐｅｒ　Ｓｔａｔｉｏｎ　Ｈｏｐｅ,殿下町第３５号２３番地,０８０－４２５８－０６２３,,●,,,●,●,●,●,合同会社Ｈｏｐｅ,36.059361,136.26374
