No.,名称,郵便番号,住所,緯度,経度,電話番号,備考
1,子育てサポ-トセンタ-　あしおと,910-0002,福井市町屋2丁目6-23,36.07789,136.231082,0776-30-0009,ベビ-ホテル
2,シルバ-ママサ-ビス ひだまりの家,910-0016,福井市大宮2丁目18-25,36.082545,136.221157,0776-26-5478,ベビ-ホテル
3,県民せいきょう　ハ-ツきっず羽水,918-8114,福井市羽水1丁目117,36.042422,136.227033,0776-36-3415,ベビ-ホテル
4,福井市子ども一時預かり所「の～び・のび」,910-8511,福井市中央1丁目2番1号　ハピリン2階,36.061831,136.222263,0776-20-5270,ベビ-ホテル
5,県民せいきょう　ハ-ツきっず学園,910-0028,福井市学園2-9-22,36.069785,136.197755,0776-21-3415,ベビ-ホテル
6,県民せいきょう　ハ-ツきっず志比口,910-0845,福井市志比口2-11-13,36.071219,136.237023,0776-52-3415,ベビ-ホテル
7,福井県生活学習館チャイルドル-ム,918-8135,福井市下六条町14-1,36.035859,136.231475,0776-41-4200,ベビ-ホテル
8,キッズ＆ベビールーム　ＰＲＩＢＡＢＹ（ぷりベビ）,910-0023,福井市順化2丁目6-16高畠ビル2階,36.063986,136.214507,080-6316-7716,ベビ-ホテル
9,とらいあんぐる,918-0859,福井市日之出4丁目1-6,36.062255,136.230908,0776-24-2346,一般
10,Smiley Kid's,910-0858,福井市手寄1丁目7-23　駅東さくらビル2階,36.059852,136.222509,0776-97-9366,事業所
11,たいよう保育ル-ム,918-8237,福井市和田東2丁目601,36.051288,136.24764,0776-43-6252,事業所
12,ニチイキッズふくい北四ツ居保育園,918-8205,福井市北四ツ居2丁目13-9,36.067212,136.245473,0776-57-8778,事業所
13,企業主導型保育施設「すくすくの森」,919-0321,福井市下河北町7-1-1,36.020575,136.216615,0776-38-6800,事業所
14,にじいろずっく,910-2464,福井市生野町4-16,35.991175,136.213441,090-9131-0355,ベビ-ホテル
15,企業主導型保育施設「えるぱっこ保育園」,910-0802,福井市大和田2丁目418　エルパプラス２階,36.094901,136.248723,0776-43-9675,事業所
16,わくわくきっず,910-0804,福井市高木中央１丁目2305番地,36.089527,136.232773,0776-54-8908,事業所
17,藤島園子育て支援センター,910-8513,福井市高木中央3丁目1701,36.091905,136.240408,0776-52-1166(代),事業所
18,企業内保育施設　ひまわり,910-2178,福井市丸山町40-7,36.077279,136.251652,0776-41-3108,事業所
19,みるきぃるうむ,910-0804,福井市大和田2丁目418　エルパプラス２階,36.094901,136.248723,0776-57-2633,事業所
20,福井赤十字病院　にこにこキッズ保育所,918-8501,福井市月見2丁目4-1,36.047299,136.21274,0776-34-4032,病院
21,済生会病院　院内保育所　ぽっかぽか園,918-8503,福井市和田中町徳万26番地,36.046304,136.253534,090-7080-3015,病院
22,のぞみ保育園,910-0021,福井市乾徳4丁目5-8,36.071893,136.204695,0776-26-5155,病院
23,ちゅうりっぷ保育園,910-0004,福井市宝永4-4-5,36.067481,136.219866,0776-24-6800,病院
24,愛育ちびっこハウス,910-0833,福井市新保2丁目301,36.078294,136.251138,0776-54-5757,病院
25,県立病院内夜間保育施設星の子,910-8526,"福井市四ツ井2丁目8-1
（福井県立病院内夜間保育施設　こころの医療センター　いこいのへや）",36.068845,136.239079,0776-54-5151,病院
26,みつばちルーム,918-8537,福井市下六条町217番地1,36.036805,136.234583,0776-41-3371,病院
27,（社）福井市シルバー人材センター,910-0018,"福井市文京1丁目26-10
（福井市シルバー人材センター・ワークプラザ内）",36.078372,136.221156,0776-27-0801,居宅訪問型
28,キッズライン　ママのまま,910-0029,福井市日光2丁目2-6　Yｲﾝﾃﾘｼﾞｪﾝﾄビル602号室,36.071233,136.201044,080-2950-1030,居宅訪問型
29,ベビーシッターくれいどる,918-8107,福井市春日町249-4,36.051321,136.221827,090-9767-5095,居宅訪問型
30,コギト　キンダーガーテン,918-8105,福井市木田1丁目3413番地 シダーテラスC-1,36.04812,136.226413,0776-43-1225,一般
31,子育てサポ-トセンタ-　とらいあんぐる,918-8237,福井市和田東1丁目2216　Mビル1階東側,36.051977,136.2484,0776-89-1789,居宅訪問型
32,風のいろのお家,910-2172,福井市荒木新保町31-21,36.035904,136.269953,090-4688-8976,ベビ-ホテル
