No.,事業所番号,サービス種類名,事業所名,事業所郵便番号,事業所住所,事業所電話番号,申請者名,緯度,経度
1,1850180025,認知症対応型共同生活介護,グループホームけんとく,910-0021,福井市乾徳4－4－18,0776-30-5100,医療法人 穂仁会,36.071906,136.205766
2,1870100896,認知症対応型共同生活介護,すのうどろっぷ　ｈｏｐｅ,918-8237,福井市和田東2－601,0776-43-9097,社会福祉法人 すのうどろっぷ,36.051281,136.247662
3,1870100953,認知症対応型共同生活介護,冨永グループホーム,918-8004,福井市西木田3丁目5番13号,0776-36-1851,医療法人 冨永病院,36.054113,136.211874
4,1870101118,認知症対応型共同生活介護,グループホーム レインボー２１,910-0804,福井市高木中央3丁目1601番地,0776-57-2800,社会福祉法人 福井康久会,36.091116,136.240113
5,1870101175,認知症対応型共同生活介護,みどりの森グループホーム,910-0017,福井市文京2丁目6番10号介護保険施設みどりの森 3階,0776-28-7253,公益財団法人 松原病院,36.077467,136.218106
6,1870101431,認知症対応型共同生活介護,グループホーム うらら,918-8105,福井市木田1－3308,0776-33-2555,医療法人 雄久会,36.047027,136.226619
7,1890100116,認知症対応型共同生活介護,グループホームらくや,910-0134,福井市上野本町１丁目3912,0776-56-8808,社会福祉法人　向陽会,36.110630,136.235452
8,1890100140,認知症対応型共同生活介護,グループホーム ゆうなぎ,910-3402,福井市鮎川町第91号37番地,0776-88-2440,社会福祉法人 国見慈光会,36.091061,136.032817
9,1890100199,認知症対応型共同生活介護,幸の家,910-3378,福井市免鳥町第22号70番地,0776-86-1855,社会福祉法人 鷹山会,36.131377,136.075088
10,1890100207,認知症対応型共同生活介護,グループホームしみず,910-3602,福井市竹生町32－48,0776-98-7890,株式会社 仁愛ケアサービス,36.048103,136.157111
11,1890100280,認知症対応型共同生活介護,グループホームあさくら,918-8135,福井市下六条町18字37番,0776-41-8408,社会福祉法人 一乗谷友愛会,36.035131,136.228546
12,1890100298,認知症対応型共同生活介護,田園,918-8076,福井市本堂町51字38番地－1,0776-37-0123,社会福祉法人 安居福祉会,36.056751,136.127428
13,1890100306,認知症対応型共同生活介護,あさくらの家 東郷,910-2165,福井市東郷二ケ町6字2-1,0776-41-8500,社会福祉法人 一乗谷友愛会,36.019282,136.265185
14,1890100355,認知症対応型共同生活介護,グループホーム匠,910-0062,福井市灯明寺4丁目1706番地,0776-28-3232,医療法人 厚生会,36.096701,136.208603
15,1890100363,認知症対応型共同生活介護,グループホームあそうづ,918-8183,福井市浅水三ケ町1字29－2,0776-50-1165,社会福祉法人 白山会,36.004344,136.204398
16,1890100413,認知症対応型共同生活介護,グループホーム 宝珠の郷,910-3116,福井市内山梨子町3－46,0776-83-1373,社会福祉法人 福聚会,36.134008,136.157429
17,1890100421,認知症対応型共同生活介護,いちご 月見の里,918-8011,福井市月見4丁目20－47,0776-34-5515,医療法人 健康会,36.045367,136.204578
18,1890100439,認知症対応型共同生活介護,グループホームふじしま,910-0804,福井市高木中央3丁目1701番地,0776-52-1166,社会福祉法人 藤島会,36.092131,136.240369
19,1890100447,認知症対応型共同生活介護,グループホーム楓,910-0016,福井市大宮4丁目13番1号,0776-25-0042,メイプルケア 有限会社,36.082014,136.208080
20,1890100553,認知症対応型共同生活介護,二の丸苑 グループホーム,910-0005,福井市大手2丁目21番3号,0776-26-2020,社会福祉法人 新清会,36.066618,136.222874
21,1890100611,認知症対応型共同生活介護,愛全園グループホーム,910-0835,福井市丸山町40－7,0776-53-5411,社会福祉法人 足羽福祉会,36.077608,136.251489
22,1890100629,認知症対応型共同生活介護,県民せいきょう岡保きらめきグループホーム,918-8234,福井市曽万布町7－18－1,0776-52-0840,福井県民生活協同組合,36.042532,136.260887
23,1890100637,認知症対応型共同生活介護,グループホーム たぶのき,910-0001,福井市大願寺3丁目3－6,0776-27-3940,社会福祉法人 福井ゆうあい会,36.081664,136.228142
