No.,種別,名称,所在地,電話番号,ＦＡＸ番号,設置主体(法人)の名称,緯度,経度,,,,,,,,,,,,,,,,,,,,
15,指定児童発達支援事業所,平谷こども発達クリニック　社事業所はぐくみ,江守の里２丁目１１８番地,(０７７６)６３－５２６５,(０７７６)６３－５２６５,医療法人　平谷こども発達クリニック,36.029019,136.180688,,,,,,,,,,,,,,,,,,,,
16,指定児童発達支援事業所,ＮＥＳＴ　Ｃａｒｅ福井店,大和田２丁目４１８番地　エルパプラス２Ｆ,０７０－８９０２－０８８４,,株式会社　やまちゃん,36.094913,136.248696,,,,,,,,,,,,,,,,,,,,
17,指定児童発達支援事業所,エール,高木町７７－４１－２,(０７７６)５０－６７８５,(０７７６)５０－６７８４,株式会社　ウォール,36.095673,136.232998,,,,,,,,,,,,,,,,,,,,
18,指定児童発達支援事業所,北風と太陽　森田,八重巻東町１－９,(０７７６)６３－６８９３,(０７７６)６３－６８９４,株式会社　かね・だ,36.103129,136.224104,,,,,,,,,,,,,,,,,,,,
19,指定児童発達支援事業所,Ｂｕｍｐｓ　Ｂａｓｅ,花堂中２丁目２－２,(０７７６)９７－６８９４,(０７７６)９７－６８９５,ＮＰＯ法人　Ｂｕｍｐｓ,36.039544,136.213297,,,,,,,,,,,,,,,,,,,,
20,指定児童発達支援事業所,たいようリズム,和田東１丁目２２０６番地,(０７７６)４３－０６９２,(０７７６)４３－０６９３,有限会社すのうどろっぷ,36.052281,136.248142,,,,,,,,,,,,,,,,,,,,
21,指定児童発達支援事業所,児童発達支援・放課後等デイサービス　すこっぷ,江端町第２０号２番地３８,(０７７６)３８－００４５,(０７７６)３８－００４５,大貴建設株式会社,36.026472,136.213168,,,,,,,,,,,,,,,,,,,,
22,指定児童発達支援事業所,やまりすの広場,板垣３丁目１３３３　第２Ｍビル,(０７７６)６３－６８７５,(０７７６)６３－６９７５,特定非営利活動法人　親子関係支援センター　やまりす,36.045655,136.231988,,,,,,,,,,,,,,,,,,,,
23,指定放課後等デイサービス事業所,ひまわり教室,大島町柳５０６,(０７７６)３６－０５２３,(０７７６)３６－８６９９,社会福祉法人　竹伸会,36.033451,136.207372,,,,,,,,,,,,,,,,,,,,
24,指定放課後等デイサービス事業所,平谷こども発達クリニック　発達支援室,北四ツ居２丁目１４０９,(０７７６)５４－９６５５,(０７７６)５４－９６１０,医療法人　平谷こども発達クリニック,36.067035,136.24804,,,,,,,,,,,,,,,,,,,,
25,指定放課後等デイサービス事業所,平谷こども発達クリニック　円山事業所　はぐくみ,南四ツ居町３字北ヨナ田５,(０７７６)５４－４７７７,(０７７６)５４－４８８８,医療法人　平谷こども発達クリニック,36.069437,136.249987,,,,,,,,,,,,,,,,,,,,
26,指定放課後等デイサービス事業所,ぽると,八重巻中町２５－８,(０７７６)８９－１２５６,(０７７６)８９－１２５６,合同会社　ぽると,36.104794,136.222780,,,,,,,,,,,,,,,,,,,,
27,指定放課後等デイサービス事業所,わんぱくステーション,高木中央２丁目６１７,(０７７６)５２－８９９１,(０７７６)５２－８９９８,社会福祉法人　げんきの家,36.094239,136.232405,,,,,,,,,,,,,,,,,,,,
28,指定放課後等デイサービス事業所,Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,灯明寺３丁目３５１１,(０７７６)２１－３３３９,(０７７６)２１－３３３９,一般社団法人　Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,36.097858,136.211688,,,,,,,,,,,,,,,,,,,,
29,指定放課後等デイサービス事業所,フレンズみゆき,御幸４丁目１０６－２,(０７７６)５０－２０３０,(０７７６)５０－２０３０,社会福祉法人　足羽福祉会,36.056989,136.239171,,,,,,,,,,,,,,,,,,,,
30,指定放課後等デイサービス事業所,子ども発達支援センター　フレンズあすわ,大和田１丁目１６０７,(０７７６)５３－３３３０,(０７７６)５３－３３３２,社会福祉法人　足羽福祉会,36.090162,136.251419,,,,,,,,,,,,,,,,,,,,
31,指定放課後等デイサービス事業所,指定通所支援事業所　わっくる,丸山１丁目８０１,(０７７６)４３－０２６１,(０７７６)４３－０２６２,合同会社　はるもにあ・わっくる,36.074131,136.244269,,,,,,,,,,,,,,,,,,,,
32,指定放課後等デイサービス事業所,アイホーム福井,飯塚町３０－７－１,(０７７６)９７－８５８３,(０７７６)９７－８５６３,有限会社　フュージョン,36.06379,136.185637,,,,,,,,,,,,,,,,,,,,
33,指定放課後等デイサービス事業所,きっずリハビリテーションサポート,光陽２丁目１８番２号,(０７７６)６５－４８２８,(０７７６)６５－４１７８,特定非営利活動法人　きっずリハビリテーションサポート,36.064685,136.198183,,,,,,,,,,,,,,,,,,,,
34,指定放課後等デイサービス事業所,特定非営利活動法人　くまっこクラブふくい,加茂河原１丁目２－１２,(０７７６)３３－３７９５,(０７７６)３３－３７９５,特定非営利活動法人　くまっこクラブふくい,36.060999,136.196809,,,,,,,,,,,,,,,,,,,,
35,指定放課後等デイサービス事業所,あひろば田原,田原１丁目１１－１２,(０７７６)４３－１０９７,(０７７６)４３－１０９８,株式会社　ワーキングカレッジ,36.073561,136.21685,,,,,,,,,,,,,,,,,,,,
36,指定放課後等デイサービス事業所,あひろば社,若杉浜３丁目８０５,(０７７６)９７－８２１４,(０７７６)９７－８２２４,株式会社　ワーキングカレッジ,36.059991,136.185352,,,,,,,,,,,,,,,,,,,,
37,指定放課後等デイサービス事業所,おひさま,八ツ島一丁目６０２番地１,(０７７６)４３－１４１６,(０７７６)４３－１４１６,有限会社　エムアンドエム,36.08554,136.204820,,,,,,,,,,,,,,,,,,,,
38,指定放課後等デイサービス事業所,あこおる,石盛町８１１,（０７７６）５６－０３２２,(０７７６)６３－５５７１,あこおる　合同会社,36.116866,136.219882,,,,,,,,,,,,,,,,,,,,
39,指定放課後等デイサービス事業所,からふる,町屋３丁目２０－８,(０７７６)６５－４１９９,(０７７６)７６－７４１８,一般社団法人　ふれんず,36.079294,136.226334,,,,,,,,,,,,,,,,,,,,
40,指定放課後等デイサービス事業所,くるみの森　つくし野,石盛町１０１２－１,(０７７６)４３－９２７７,(０７７６)４３－９２９９,株式会社　グリーンプラス,36.116517,136.219291,,,,,,,,,,,,,,,,,,,,
41,指定放課後等デイサービス事業所,くるみの森　西谷,西谷１丁目１１２７　グリーンプラスビル２階,(０７７６)９７－５８８９,(０７７６)９７－５８９６,株式会社　グリーンプラス,36.036062,136.208695,,,,,,,,,,,,,,,,,,,,
42,指定放課後等デイサービス事業所,児童療育センター　みどりのくまさん,高木中央１丁目３０１５番地,(０７７６)５２－３９００,(０７７６)５２－３９０３,ファースト建材　株式会社,36.087945,136.232938,,,,,,,,,,,,,,,,,,,,
43,指定放課後等デイサービス事業所,特定非営利活動法人　ふくいスポーツクラブ,新田塚２丁目１６－１,０９０－８２６２－６１００,,特定非営利活動法人　ふくいスポーツクラブ,36.087455,136.202998,,,,,,,,,,,,,,,,,,,,
44,指定放課後等デイサービス事業所,クローバーキッズ和田,和田東一丁目２２１７番地,(０７７６)９７－９４３０,(０７７６)９７－９４３７,株式会社　ふくい福祉振興会,36.052021,136.248149,,,,,,,,,,,,,,,,,,,,
45,指定放課後等デイサービス事業所,マザーズやしろ,福１丁目１００２,(０７７６)９７－６８２１,(０７７６)９７－６８２２,有限会社　ハーヴェスト,36.046977,136.190714,,,,,,,,,,,,,,,,,,,,
46,指定放課後等デイサービス事業所,マザーズ新田塚,新田塚２丁目３３－１１,(０７７６)９７－６２０７,(０７７６)９７－６２０８,有限会社　ハーヴェスト,36.088902,136.202293,,,,,,,,,,,,,,,,,,,,
47,指定放課後等デイサービス事業所,在宅サポート　のびのび,豊岡１丁目１６－２２,(０７７６)８９－０８７７,(０７７６)８９－００３９,合同会社　エター・ポート,36.070348,136.192277,,,,,,,,,,,,,,,,,,,,
48,指定放課後等デイサービス事業所,放課後等デイサービス　喜び,下荒井町９－１０２－１,(０７７６)３９－０４６５,(０７７６)３９－０４６６,社会福祉法人　生喜会,36.027903,136.204102,,,,,,,,,,,,,,,,,,,,
49,指定放課後等デイサービス事業所,ぱれっと,若杉４丁目２１０１　満作プラザD棟,(０７７６)４３－６０８６,(０７７６)４３－６０８６,特定非営利活動法人　パパＨＡＮＤＳ,36.057863,136.184760,,,,,,,,,,,,,,,,,,,,
50,指定放課後等デイサービス事業所,放課後デイやわらぎ,下六条町２１７番４,０９０－５６８０－７２９６,(０７７６)４１－８６０１,社会福祉法人　六条厚生会,36.036641,136.234224,,,,,,,,,,,,,,,,,,,,
51,指定放課後等デイサービス事業所,あ・りとる,照手４丁目３番５号,(０７７６)４３－１２４２,(０７７６)４３－１２４３,株式会社　あ・りとる,36.057387,136.2055,,,,,,,,,,,,,,,,,,,,
52,指定放課後等デイサービス事業所,医療法人カンマ　指定通所支援　ミネルヴァ,新田塚２丁目３２番１６号,(０７７６)２３－０５５６,(０７７６)２１－０５５７,医療法人　カンマ,36.089066,136.203834,,,,,,,,,,,,,,,,,,,,
53,指定放課後等デイサービス事業所,小規模多機能型居宅介護　ゆずり葉,春日３丁目１００９番地,(０７７６)２９－７０５４,(０７７６)２９－７０５４,合同会社　ゆずり葉,36.050156,136.226459,,,,,,,,,,,,,,,,,,,,
54,指定放課後等デイサービス事業所,北風と太陽　福井,新保２丁目７０４番地１,(０７７６)８９－１３６６,(０７７６)８９－１３６７,株式会社　かね・だ,36.079995,136.24923,,,,,,,,,,,,,,,,,,,,
55,指定放課後等デイサービス事業所,あひろば森田,下森田桜町７番８　２階,(０７７６)９７－６７２３,(０７７６)９７－６７２４,株式会社　ワーキングカレッジ,36.110429,136.227792,,,,,,,,,,,,,,,,,,,,
56,指定放課後等デイサービス事業所,ＷＡＬＬＥＳＳ　ＡＣＡＤＥＭＹ,大手３丁目１－１５ ビアンモア大手ビル８階,(０７７６)５０－３６２３,(０７７６)５０－３６２４,株式会社　ＷＡＬＬＥＳＳ,36.063174,136.220358,,,,,,,,,,,,,,,,,,,,
57,指定放課後等デイサービス事業所,マザーズ城東,御幸３丁目１０番１号,(０７７６)６３－５６２０,(０７７６)６３－５６５０,有限会社　ハーヴェスト,36.057354,136.2368,,,,,,,,,,,,,,,,,,,,
58,指定放課後等デイサービス事業所,平谷こども発達クリニック　ＩＣＴ支援室,北四ツ居１丁目２７番１６号,０８０－４８０６－６１２７,(０７７６)５４－９６１０,医療法人　平谷こども発達クリニック,36.063981,136.246986,,,,,,,,,,,,,,,,,,,,
59,指定放課後等デイサービス事業所,放課後等デイサービスなないろキッズ,江端町２０－３５,０９０－２３７６－３６２８,(０７７６)８３－０８９９,一般社団法人なないろキッズ,36.026738,136.21287,,,,,,,,,,,,,,,,,,,,
60,指定放課後等デイサービス事業所,マザーズ森田,東森田３丁目１０１,(０７７６)８９－１３４０,(０７７６)８９－１３４１,有限会社　ハーヴェスト,36.120305,136.252466,,,,,,,,,,,,,,,,,,,,
61,指定放課後等デイサービス事業所,くれよん,文京１丁目１８－５,(０７７６)６５－７０２５,(０７７６)７６－７４１８,一般社団法人　ふれんず,36.077261,136.224351,,,,,,,,,,,,,,,,,,,,
62,指定放課後等デイサービス事業所,平谷こども発達クリニック　社事業所はぐくみ,江守の里２丁目１１８番地,(０７７６)６３－５２６５,(０７７６)６３－５２６５,医療法人　平谷こども発達クリニック,36.029019,136.180688,,,,,,,,,,,,,,,,,,,,
63,指定放課後等デイサービス事業所,放課後デイやわらぎＮｅｘｔ,下馬３丁目６０６番地４,０８０－８９９２－０１７７,,社会福祉法人　六条厚生会,4187.6907,21057.778,,,,,,,,,,,,,,,,,,,,
64,指定放課後等デイサービス事業所,ＮＥＳＴ　Ｃａｒｅ福井店,大和田２丁目４１８番地　エルパプラス２Ｆ,０７０－８９０２－０８８４,,株式会社　やまちゃん,36.094913,136.248696,,,,,,,,,,,,,,,,,,,,
65,指定放課後等デイサービス事業所,エール,高木町７７－４１－２,(０７７６)５０－６７８５,(０７７６)５０－６７８４,株式会社　ウォール,36.095673,136.232998,,,,,,,,,,,,,,,,,,,,
66,指定放課後等デイサービス事業所,北風と太陽　森田,八重巻東町１－９,(０７７６)６３－６８９３,(０７７６)６３－６８９４,株式会社　かね・だ,36.103129,136.224104,,,,,,,,,,,,,,,,,,,,
67,指定放課後等デイサービス事業所,放課後等デイサービスなごみクラブ,北四ツ居３丁目４－２,(０７７６)５３－１７５３,(０７７６)５３－１７５４,社会福祉法人　育友福祉会,36.067524,136.243157,,,,,,,,,,,,,,,,,,,,
68,指定放課後等デイサービス事業所,はにかむ,石盛町３３０,(０７７６)５０－７４０４,(０７７６)５０－７５０４,社会福祉法人　ゆきんこの会,36.117486,136.224019,,,,,,,,,,,,,,,,,,,,
69,指定放課後等デイサービス事業所,マザーズplus和田,和田東一丁目２２１　サン・ボニール１０２,(０７７６)４３－６１５３,(０７７６)４３－６１５４,合同会社ＧＲＯＷ　ＵＰ,36.054558,136.246146,,,,,,,,,,,,,,,,,,,,
70,指定放課後等デイサービス事業所,あひろば高木,高木町６５－８,(０７７６)４３－９８１３,(０７７６)４３－９８１４,株式会社　ワーキングカレッジ,36.100381,136.238229,,,,,,,,,,,,,,,,,,,,
71,指定放課後等デイサービス事業所,わいわいポケット,福町２８－４５,(０７７６)３４－８１１２,(０７７６)３４－８１１３,社会福祉法人城山,36.046533,136.190920,,,,,,,,,,,,,,,,,,,,
72,指定放課後等デイサービス事業所,放課後等デイサービスさこうベース,成願寺４ー２４,(０７７６)４１－３８０９,(０７７６)４１－３９８５,柳生カンパニー有限会社,36.031227,136.278735,,,,,,,,,,,,,,,,,,,,
73,指定放課後等デイサービス事業所,やまりすの広場,板垣３丁目１３３３　第２Ｍビル,(０７７６)６３－６８７５,(０７７６)６３－６９７５,特定非営利活動法人　親子関係支援センター　やまりす,36.045655,136.231988,,,,,,,,,,,,,,,,,,,,
74,指定放課後等デイサービス事業所,たいようリズム,和田東１丁目１６０６番地　２階,(０７７６)４３－０６９２,(０７７６)４３－０６９３,有限会社すのうどろっぷ,36.052281,136.248142,,,,,,,,,,,,,,,,,,,,
75,指定放課後等デイサービス事業所,児童発達支援・放課後等デイサービス　すこっぷ,江端町第２０号２番地３８,(０７７６)３８－００４５,(０７７６)３８－００４５,大貴建設株式会社,36.026472,136.213168,,,,,,,,,,,,,,,,,,,,
76,指定放課後等デイサービス事業所,キッズハウスよろこび,大島町中坪１１０　　２階,(０７７６)６８－００５８,(０７７６)６８－００１８,社会福祉法人　生喜会,36.034455,136.208167,,,,,,,,,,,,,,,,,,,,
77,指定保育所等訪問支援,ぽると,八重巻中町２５－８,(０７７６)８９－１２５６,(０７７６)８９－１２５６,合同会社　ぽると,36.104794,136.22278,,,,,,,,,,,,,,,,,,,,
78,指定保育所等訪問支援,Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,灯明寺３丁目３５１１,(０７７６)２１－３３３９,(０７７６)２１－３３３９,一般社団法人　Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,36.097858,136.211688,,,,,,,,,,,,,,,,,,,,
79,指定保育所等訪問支援,指定通所支援事業所　わっくる,丸山１丁目８０１,(０７７６)４３－０２６１,(０７７６)４３－０２６２,合同会社　はるもにあ・わっくる,36.074131,136.244269,,,,,,,,,,,,,,,,,,,,
80,指定保育所等訪問支援,きっずリハビリテーションサポート,光陽２丁目１８番２号,(０７７６)６５－４８２８,(０７７６)６５－４１７８,特定非営利活動法人　きっずリハビリテーションサポート,36.064685,136.198183,,,,,,,,,,,,,,,,,,,,
81,指定保育所等訪問支援,子ども発達支援センター　フレンズあすわ,大和田１丁目１６０７,(０７７６)５３－３３３０,(０７７６)５３－３３３２,社会福祉法人　足羽福祉会,36.090162,136.251419,,,,,,,,,,,,,,,,,,,,
82,指定保育所等訪問支援,平谷こども発達クリニック　円山事業所　はぐくみ,南四ツ居町３字北ヨナ田５,(０７７６)５４－４７７７,(０７７６)５４－４８８８,医療法人　平谷こども発達クリニック,36.069437,136.249987,,,,,,,,,,,,,,,,,,,,
83,指定保育所等訪問支援,平谷こども発達クリニック　発達支援室,北四ツ居２丁目１４０９,(０７７６)５４－９６５５,(０７７６)５４－９６１０,医療法人　平谷こども発達クリニック,36.067035,136.248040,,,,,,,,,,,,,,,,,,,,
84,指定保育所等訪問支援,ＡＣＡＤＥＭＹ  ＰＬＵＳ,大手３丁目１－１５ ビアンモア大手ビル８階,(０７７６)５０－３６２３,(０７７６)５０－３６２４,株式会社　ＷＡＬＬＥＳＳ,36.063174,136.220358,,,,,,,,,,,,,,,,,,,,
85,指定保育所等訪問支援,医療法人カンマ　指定通所支援　ミネルヴァ,新田塚２丁目３２番１６号,(０７７６)２３－０５５６,(０７７６)２１－０５５７,医療法人　カンマ,36.089066,136.203834,,,,,,,,,,,,,,,,,,,,
86,指定保育所等訪問支援,あこおる,石盛町８１１,(０７７６)５６－０３２２,(０７７６)６３－５５７１,あこおる　合同会社,36.116866,136.219882,,,,,,,,,,,,,,,,,,,,
87,指定保育所等訪問支援,ＮＥＳＴ　Ｃａｒｅ福井店,大和田２丁目４１８番地　エルパプラス２Ｆ,０７０－８９０２－０８８４,,株式会社　やまちゃん,36.094913,136.248696,,,,,,,,,,,,,,,,,,,,
88,指定保育所等訪問支援,くるみの森　西谷,西谷１丁目１１２７　グリーンプラスビル２階,(０７７６)９７－５８８９,(０７７６)９７－５８９６,株式会社　グリーンプラス,36.036062,136.208695,,,,,,,,,,,,,,,,,,,,
89,指定保育所等訪問支援,Ｂｕｍｐｓ　Ｂａｓｅ,花堂中２丁目２－２,(０７７６)９７－６８９４,(０７７６)９７－６８９５,ＮＰＯ法人　Ｂｕｍｐｓ,36.039544,136.213297,,,,,,,,,,,,,,,,,,,,
90,指定保育所等訪問支援,やまりすの広場,板垣３丁目１３３３　第２Ｍビル,(０７７６)６３－６８７５,(０７７６)６３－６９７５,特定非営利活動法人　親子関係支援センター　やまりす,36.045655,136.231988,,,,,,,,,,,,,,,,,,,,
91,指定居宅訪問型児童発達支援,Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,灯明寺３丁目３５１１,(０７７６)２１－３３３９,(０７７６)２１－３３３９,一般社団法人　Ｏｒａｎｇｅ　Ｋｉｄｓ’　Ｃａｒｅ　Ｌａｂ.,36.097858,136.211688,,,,,,,,,,,,,,,,,,,,
92,指定居宅訪問型児童発達支援,ぽると,八重巻中町２５－８,(０７７６)８９－１２５６,(０７７６)８９－１２５６,合同会社　ぽると,36.104794,136.22278,,,,,,,,,,,,,,,,,,,,
93,指定居宅訪問型児童発達支援,ＮＥＳＴ　Ｃａｒｅ福井店,大和田２丁目４１８番地　エルパプラス２Ｆ,０７０－８９０２－０８８４,,株式会社　やまちゃん,36.094913,136.248696,,,,,,,,,,,,,,,,,,,,
