No.,名称,所在地,電話番号,ＦＡＸ番号,主な対象者(身体),主な対象者(知的),主な対象者(精神),設置主体(法人)の名称,緯度,経度
1,ハウスやわらぎ,下六条町１－４,(０７７６)４１－８３５０,(０７７６)４１－８０５０,,,●,社会福祉法人　六条厚生会,36.036092,136.233992
2,パステル,御幸４丁目１８０６,(０７７６)８９－１５５８,(０７７６)８９－１５５７,●,●,●,社会福祉法人　足羽福祉会,36.056667,136.240322
3,フィール,問屋町４丁目５０６,(０７７６)８９－１５６０,(０７７６)８９－１５３４,,,●,一般社団法人　ライフトレーニング,36.05284,136.256213
4,小規模多機能型居宅介護ゆずり葉,春日３丁目１００９番地,(０７７６)２９－７０５４,(０７７６)２９－７０５４,●,●,●,合同会社　ゆずり葉,36.050156,136.226459
5,ちいさなチカラ,開発１丁目７１４－２,(０７７６)４３－６８６０,(０７７６)４３－６８６７,●,●,●,株式会社　ちいさなチカラ,36.076183,136.240387
6,多機能型事業所プラス,下馬３丁目８０５,(０７７６)５０－７３４４,(０７７６)５０－７３４５,●,●,●,一般社団法人　プラス,36.039068,136.232291
7,デイ・フィットネス　楽らく　大宮店,大宮５丁目１３番２４号,(０７７６)２９－７１６１,(０７７６)２９－７２３０,●,●,●,株式会社エル・ローズ,36.081949,136.201935
8,デイサービスセンター　楽らく,渕３丁目１３４グランドコーポヤシロ１階,(０７７６)４３－９１５５,(０７７６)４３－９１３３,●,●,●,株式会社エル・ローズ,36.043929,136.186671
9,インテグラルワークカレッジ,西開発２丁目４０７番,(０７７６)５０－２１２０,(０７７６)５０－２１５２,,●,●,株式会社インテグラルウェルフェア,36.078735,136.235536
10,いちごデイセンターみのり,月見４丁目３－２９,(０７７６)３３－１５４１,(０７７６)３３－１５６１,●,,,医療法人　健康会,36.047972,136.203623
11,ほっと地域リハビリセンター福井北,大和田２丁目２１０１,(０７７６)５７－１０５５,(０７７６)５７－１０５６,●,●,,株式会社　ほっとリハビリシステムズ,36.098834,136.253494
12,デイサービス施設「パワーリハビリふぁいと」,渕３丁目１２５－１,０９０－９４４８－４３００,,●,●,●,株式会社タケイパワージム,36.043962,136.185664
